Age,Sex,Job,Housing,Saving accounts,Checking account,Credit amount,Duration,Purpose,email,Status
21,male,2,rent,little,moderate,2779,18,car,customers@mail.com,waiting
23,male,1,rent,quite rich,,660,6,repairs,customers@mail.com,waiting
41,female,1,rent,,,1244,9,education,customers@mail.com,waiting
36,male,2,rent,little,little,3905,11,car,customers@mail.com,waiting
34,female,3,rent,little,moderate,3017,12,furniture/equipment,customers@mail.com,waiting
29,female,1,rent,little,little,1659,24,radio/TV,customers@mail.com,waiting
22,male,2,rent,moderate,moderate,3092,24,radio/TV,customers@mail.com,waiting
26,female,2,rent,little,little,3114,18,furniture/equipment,customers@mail.com,waiting
57,female,2,rent,rich,little,3622,30,furniture/equipment,customers@mail.com,waiting
35,male,1,rent,moderate,,1418,10,car,customers@mail.com,waiting
26,male,2,rent,little,,3518,6,car,customers@mail.com,waiting
39,male,1,rent,little,little,2122,12,car,customers@mail.com,waiting
29,male,3,rent,moderate,moderate,9034,36,furniture/equipment,customers@mail.com,waiting
24,female,2,rent,little,little,1207,24,car,customers@mail.com,waiting
26,male,2,rent,little,rich,2687,15,business,customers@mail.com,waiting
20,male,2,rent,little,moderate,585,12,radio/TV,customers@mail.com,waiting
23,female,2,rent,little,,7127,36,furniture/equipment,customers@mail.com,waiting
31,male,2,rent,little,little,2302,36,radio/TV,customers@mail.com,waiting
28,female,2,rent,moderate,moderate,2631,15,car,customers@mail.com,waiting
41,male,2,rent,little,,1503,12,car,customers@mail.com,waiting
33,male,2,rent,little,rich,2319,21,education,customers@mail.com,waiting
23,male,2,rent,little,moderate,1534,12,radio/TV,customers@mail.com,waiting
24,male,1,rent,little,little,1546,24,radio/TV,customers@mail.com,waiting
23,female,2,rent,moderate,moderate,1553,24,radio/TV,customers@mail.com,waiting
23,female,1,rent,little,little,3234,24,furniture/equipment,customers@mail.com,waiting
26,female,3,rent,,,5433,24,car,customers@mail.com,waiting
26,female,2,rent,little,,1388,9,furniture/equipment,customers@mail.com,waiting
33,male,1,rent,little,moderate,2384,36,repairs,customers@mail.com,waiting
20,female,2,rent,little,little,2039,18,furniture/equipment,customers@mail.com,waiting
36,male,2,rent,little,little,2799,9,car,customers@mail.com,waiting
42,female,2,rent,,moderate,1965,24,car,customers@mail.com,waiting
20,female,1,rent,little,moderate,2718,24,car,customers@mail.com,waiting
23,female,2,rent,little,little,1442,24,car,customers@mail.com,waiting
22,female,2,rent,little,little,3632,24,car,customers@mail.com,waiting
37,male,2,rent,little,little,3676,6,car,customers@mail.com,waiting
21,female,2,rent,moderate,moderate,3441,30,furniture/equipment,customers@mail.com,waiting
22,female,2,rent,little,little,1858,12,furniture/equipment,customers@mail.com,waiting
19,female,2,rent,little,,1980,9,furniture/equipment,customers@mail.com,waiting
27,male,2,rent,,,7980,36,business,customers@mail.com,waiting
40,male,1,rent,little,little,684,12,education,customers@mail.com,waiting
23,male,2,rent,little,rich,1297,12,radio/TV,customers@mail.com,waiting
43,male,2,rent,little,little,4843,12,car,customers@mail.com,waiting
26,female,3,rent,little,,4530,30,radio/TV,customers@mail.com,waiting
64,male,1,rent,little,little,2384,24,radio/TV,customers@mail.com,waiting
50,male,2,rent,quite rich,,1236,6,car,customers@mail.com,waiting
40,male,3,rent,little,rich,1905,15,education,customers@mail.com,waiting
29,female,1,rent,quite rich,,1123,12,furniture/equipment,customers@mail.com,waiting
25,female,2,rent,little,moderate,2969,12,furniture/equipment,customers@mail.com,waiting
24,female,2,rent,rich,moderate,433,6,education,customers@mail.com,waiting
21,female,2,rent,little,,2570,27,car,customers@mail.com,waiting
25,female,2,rent,little,little,1882,18,radio/TV,customers@mail.com,waiting
59,female,2,rent,little,moderate,6416,48,business,customers@mail.com,waiting
21,male,1,rent,little,little,1987,24,radio/TV,customers@mail.com,waiting
28,female,2,rent,rich,,2603,24,car,customers@mail.com,waiting
23,female,3,rent,little,moderate,11560,24,car,customers@mail.com,waiting
26,female,1,rent,moderate,moderate,4280,30,business,customers@mail.com,waiting
23,female,2,rent,little,little,2511,15,car,customers@mail.com,waiting
23,female,1,rent,moderate,moderate,841,12,business,customers@mail.com,waiting
32,female,2,rent,,little,1285,24,car,customers@mail.com,waiting
24,female,2,rent,little,little,2124,18,furniture/equipment,customers@mail.com,waiting
31,female,2,rent,,,2901,10,car,customers@mail.com,waiting
28,male,2,rent,little,moderate,3617,12,furniture/equipment,customers@mail.com,waiting
26,female,2,rent,,little,2812,24,car,customers@mail.com,waiting
25,female,2,rent,,little,1371,24,car,customers@mail.com,waiting
32,male,2,rent,quite rich,,3062,24,furniture/equipment,customers@mail.com,waiting
22,female,2,rent,moderate,,2301,9,furniture/equipment,customers@mail.com,waiting
22,female,1,rent,little,,1258,12,furniture/equipment,customers@mail.com,waiting
48,female,1,rent,little,moderate,1795,18,radio/TV,customers@mail.com,waiting
24,female,0,rent,,moderate,7472,12,car,customers@mail.com,waiting
26,female,0,rent,little,moderate,1778,15,car,customers@mail.com,waiting
54,female,2,rent,little,moderate,7432,36,car,customers@mail.com,waiting
24,female,2,rent,little,,1554,6,radio/TV,customers@mail.com,waiting
33,female,2,rent,little,little,3966,18,car,customers@mail.com,waiting
23,female,2,rent,little,little,1216,18,car,customers@mail.com,waiting
29,male,2,rent,little,little,11816,45,business,customers@mail.com,waiting
23,female,1,rent,little,,601,4,furniture/equipment,customers@mail.com,waiting
68,male,2,rent,,,6761,18,car,customers@mail.com,waiting
33,male,2,rent,little,little,2235,20,car,customers@mail.com,waiting
26,male,2,rent,moderate,,3577,9,car,customers@mail.com,waiting
25,male,1,rent,little,,2210,10,furniture/equipment,customers@mail.com,waiting
20,female,2,rent,quite rich,,2221,15,furniture/equipment,customers@mail.com,waiting
24,female,2,rent,little,little,652,12,furniture/equipment,customers@mail.com,waiting
40,male,2,rent,,,7824,28,car,customers@mail.com,waiting
28,female,3,rent,little,little,2606,21,radio/TV,customers@mail.com,waiting
33,female,1,rent,,,2186,15,furniture/equipment,customers@mail.com,waiting
43,male,2,rent,little,little,2625,16,car,customers@mail.com,waiting
40,male,2,rent,,,1386,15,radio/TV,customers@mail.com,waiting
20,male,3,rent,little,little,1107,12,radio/TV,customers@mail.com,waiting
31,male,2,rent,little,little,3161,24,business,customers@mail.com,waiting
39,male,3,rent,little,little,3345,24,furniture/equipment,customers@mail.com,waiting
22,female,2,rent,little,little,1366,9,radio/TV,customers@mail.com,waiting
30,male,2,rent,little,moderate,2002,12,car,customers@mail.com,waiting
21,female,2,rent,little,little,1049,18,furniture/equipment,customers@mail.com,waiting
30,male,3,rent,little,moderate,2063,6,radio/TV,customers@mail.com,waiting
46,female,2,rent,little,little,1845,15,furniture/equipment,customers@mail.com,waiting
28,female,2,rent,quite rich,moderate,4113,24,car,customers@mail.com,waiting
57,female,3,rent,rich,little,1231,24,radio/TV,customers@mail.com,waiting
30,male,2,rent,little,,1740,6,radio/TV,customers@mail.com,waiting
54,female,3,rent,little,,3568,15,radio/TV,customers@mail.com,waiting
29,male,2,rent,,,7166,42,radio/TV,customers@mail.com,waiting
29,female,0,rent,little,little,1193,24,car,customers@mail.com,waiting
36,male,2,rent,little,little,7297,60,business,customers@mail.com,waiting
25,male,2,rent,moderate,moderate,1264,15,car,customers@mail.com,waiting
33,male,3,rent,little,,4844,48,business,customers@mail.com,waiting
25,female,2,rent,little,little,1433,15,furniture/equipment,customers@mail.com,waiting
23,male,1,rent,,little,1936,18,radio/TV,customers@mail.com,waiting
